sentence,cluster,orig_idx,title,umap_x,umap_y
there were 169 indian nationals 53 britons seven portuguese nationals and one canadian on the flight according to air india.air india confirms 241 on board plane killed with one survivor in ahmedabad crash,-1,7,air india confirms 241 on board plane killed with one survivor in ahmedabad crash,0.9562464,7.398189
the crashed ahmedabad london air india flight s black box has been recovered the ministry of civil aviation informed on friday.,15,8,big breakthrough in ahmedabad plane crash investigation black box of air india 171 plane found,1.8237549,3.402524
the orange coloured device located near the tail of a plane will help investigate the crash that has claimed at least 265 lives so far.,15,8,big breakthrough in ahmedabad plane crash investigation black box of air india 171 plane found,1.5437165,3.6135094
union minister of civil aviation ram mohan naidu said the flight data recorder black box has been recovered within 28 hours from the accident site in ahmedabad by aaib.,15,8,big breakthrough in ahmedabad plane crash investigation black box of air india 171 plane found,1.8533565,3.3774922
this marks an important step forward in the investigation.,15,8,big breakthrough in ahmedabad plane crash investigation black box of air india 171 plane found,1.2423153,3.3627653
this will significantly aid the enquiry into the incident.big breakthrough in ahmedabad plane crash investigation black box of air india 171 plane found,15,8,big breakthrough in ahmedabad plane crash investigation black box of air india 171 plane found,1.47927,3.7275593
the airline confirmed that the flight carried 242 passengers and there was only one survivor who was seated on 11a.,5,9,live black box recovered air india plane crash investigation begins,1.8711957,8.81039
it also said that a digital video recorder was found but a search was on to find the black box after earlier reports suggested that it had been discovered.live black box recovered air india plane crash investigation begins,15,9,live black box recovered air india plane crash investigation begins,1.5865184,3.6151044
new footage reveals the harrowing moments of air india flight 171 s crash in ahmedabad.,25,10,shocking video 2nd video of ahmedabad air india flight crash seconds after takeoff,-0.37968826,5.1600122
the video shows the aircraft losing power within 30 seconds of takeoff failing to gain altitude and ultimately crashing in a ball of fire.,10,10,shocking video 2nd video of ahmedabad air india flight crash seconds after takeoff,-1.1942072,4.3502107
the pilot s attempts to land the aircraft,10,10,shocking video 2nd video of ahmedabad air india flight crash seconds after takeoff,-1.2006644,4.404715
are evident but the rapid engine failure left no time for recovery.,-1,10,shocking video 2nd video of ahmedabad air india flight crash seconds after takeoff,0.012834803,3.6249173
this rare incident has been described as one in a million .shocking video 2nd video of ahmedabad air india flight crash seconds after takeoff,25,10,shocking video 2nd video of ahmedabad air india flight crash seconds after takeoff,-0.121881716,5.4280853
the transcript discusses the air india ai 171 crash focusing on the pilot s final message and the recovery of the black box.,15,11,ahmedabad plane crash experts decode pilot s last words and details of black box,1.6792156,3.790511
experts analyze the aircraft s takeoff the pilot s communication during the emergency and the significance of the black box in investigating the incident.,15,11,ahmedabad plane crash experts decode pilot s last words and details of black box,1.6411719,3.514269
the aircraft was airborne for approximately 25 seconds before crashing.,10,11,ahmedabad plane crash experts decode pilot s last words and details of black box,-1.2226892,4.4812636
the black box is described as a crucial tool that records over 100 parameters providing vital information about the aircraft s condition and performance.ahmedabad plane crash experts decode pilot s last words and details of black box,15,11,ahmedabad plane crash experts decode pilot s last words and details of black box,1.6632909,3.5084987
you can give your valuable feedback in the comments or email us on dna dnaindia.com.,-1,12,air india plane crash ahmedabad civil hospital identified 47 victims after dna testing,1.6899276,4.9312773
we bring out the different angles to major national and international news stories grabbing headlines.,2,12,air india plane crash ahmedabad civil hospital identified 47 victims after dna testing,12.0690155,1.9054899
dna india presents india news international news entertainment news and gossip business and technology news education news utility news and viral news.air india plane crash ahmedabad civil hospital identified 47 victims after dna testing,-1,12,air india plane crash ahmedabad civil hospital identified 47 victims after dna testing,1.6176108,4.9977326
an air india flight crashed shortly after takeoff from ahmedabad resulting in 265 fatalities.,23,13,lone survivor of air india 171 crash recounts miraculous escape ahmedabad plane crash,0.047872387,7.427558
only one passenger vishwash kumar ramesh survived the catastrophe.,16,13,lone survivor of air india 171 crash recounts miraculous escape ahmedabad plane crash,2.9630504,6.5146375
families of victims are grappling with grief as dna tests are underway to identify the deceased.,21,13,lone survivor of air india 171 crash recounts miraculous escape ahmedabad plane crash,2.0188973,6.4243627
the lone survivor recounted how the plane began descending and split into two 30 seconds after takeoff.,10,13,lone survivor of air india 171 crash recounts miraculous escape ahmedabad plane crash,-1.1002975,4.4016814
prime minister narendra modi met with the survivor and wished him a speedy recovery.lone survivor of air india 171 crash recounts miraculous escape ahmedabad plane crash,12,13,lone survivor of air india 171 crash recounts miraculous escape ahmedabad plane crash,2.3805,5.363612
the flight a boeing 787 8 dreamliner carried 242 people including 230 passengers and 12 crew members.,5,14,ahmedabad plane crash live updates rescue operations continue in air india disaster,1.6441022,8.635491
visuals from the meghani area where the plane crashed showed thick black smoke encompassing the air.,11,14,ahmedabad plane crash live updates rescue operations continue in air india disaster,-1.8537009,3.3824832
the flight was identified as air india 171 which online flight trackers showed as a 1 10 pm service from the sardar vallabhbhai patel international airport in ahmedabad to gatwick airport in london.,4,14,ahmedabad plane crash live updates rescue operations continue in air india disaster,0.8171909,9.130178
the plane was being flown by captain sumeet sabharwal and first officer clive kundar.ahmedabad plane crash live updates rescue operations continue in air india disaster,26,14,ahmedabad plane crash live updates rescue operations continue in air india disaster,0.48904613,5.7195644
thick black smoke is visible at the crash site.,11,15,ahmedabad plane crash news live air india airplane crash in ahmedabad ahmedabad airplane crash,-1.8126712,3.3000395
emergency services are en route to the location.,1,15,ahmedabad plane crash news live air india airplane crash in ahmedabad ahmedabad airplane crash,-0.7142346,2.3333116
the exact details of the aircraft type number of passengers and cause of the incident are yet to be confirmed by officials.ahmedabad plane crash news live air india airplane crash in ahmedabad ahmedabad airplane crash,-1,15,ahmedabad plane crash news live air india airplane crash in ahmedabad ahmedabad airplane crash,0.3698311,6.0960484
live ahmedabad plane crash video shows moments of destruction air india plane crash n18l,25,16,live ahmedabad plane crash video shows moments of destruction air india plane crash n18l,-0.097697586,5.1734166
an air india plane has crashed in gujarat s ahmedabad confirms the state police control room.,22,17,ahmedabad plane crash air india flight with 242 crashes into students hostel wion,-0.7473161,7.8230157
a total of 242 passengers were onboard the ahmedabad london gatwick air india flight.,6,17,ahmedabad plane crash air india flight with 242 crashes into students hostel wion,1.4040971,8.247057
we provide much more than the news of the day.,2,17,ahmedabad plane crash air india flight with 242 crashes into students hostel wion,11.961138,2.0438962
our aim is to empower people to explore their world.,2,17,ahmedabad plane crash air india flight with 242 crashes into students hostel wion,11.622431,1.8731823
with our global headquarters in new delhi we bring you news on the hour by the hour.,3,17,ahmedabad plane crash air india flight with 242 crashes into students hostel wion,12.274736,-0.16394721
we deliver information that is not biased.,2,17,ahmedabad plane crash air india flight with 242 crashes into students hostel wion,11.998932,2.1048455
we are journalists who are neutral to the core and non partisan when it comes to world politics.,2,17,ahmedabad plane crash air india flight with 242 crashes into students hostel wion,12.08914,2.0296764
people are tired of biased reportage and we stand for a globalized united world.,2,17,ahmedabad plane crash air india flight with 242 crashes into students hostel wion,12.1778555,1.9540087
so for us the world is truly one.ahmedabad plane crash air india flight with 242 crashes into students hostel wion,-1,17,ahmedabad plane crash air india flight with 242 crashes into students hostel wion,1.029611,5.7026224
a high level government committee will hold its first meeting monday to examine the air india flight 171 crash that has claimed at least 271 lives even as the first funerals of passengers killed aboard the boeing 787 took place on sunday while most grieving families continue an agonising wait for their loved ones remains.air india crash i ba 787 chennai flight turns back saudia airline smoke scare i boeing i barkha,13,18,air india crash i ba 787 chennai flight turns back saudia airline smoke scare i boeing i barkha,1.2670816,4.389708
one was a veteran preparing to hang up his boots the other a young co pilot just charting the early course of his aviation career.,17,19,how were pilot s last moments before air india ai 171 crash ahmedabad,1.3884794,6.605615
both the aviators captain sumeet sabharwal and first officer clive kunder met a cruel end on thursday as the boeing 787 8 dreamliner crashed.,20,19,how were pilot s last moments before air india ai 171 crash ahmedabad,-0.48044866,6.2950745
more.how were pilot s last moments before air india ai 171 crash ahmedabad,18,19,how were pilot s last moments before air india ai 171 crash ahmedabad,0.97995853,6.1813736
